pm25,pm10,no,no2,nox,so2,co,ozone,t2m,wind_speed,humidity,precip_mm,msl,wind_dir_sin,wind_dir_cos,is_monsoon,inversion_flag,traffic_index,is_weekend,is_gazetted_holiday,is_restricted_holiday,fire_count,daily_frp,is_festival,festival_intensity,is_wedding_heavy,fire_wind_interaction,region_Central,region_East,region_North,region_South,region_West,AQI,AQI_lag1,AQI_lag2,AQI_lag3,AQI_rolling_mean_3,AQI_rolling_mean_7,pm25_lag1,pm25_lag2,pm25_lag3,pm25_rolling_mean_3,pm25_rolling_mean_7,datetime,region_name,month,day_of_week,day_of_month,hour,season,is_holiday,pm10_lag1,no2_lag1,so2_lag1,co_lag1,temp_humidity_interaction,wind_pm25_interaction,wind_aqi_interaction
94.85884662,271.1734954,16.1853588,53.76733796,39.79041667,12.82446126,1.789799862,41.06331871,27.40153563,3.00108086,57.34088214,0.0,1007.415169,-0.743956295,0.668228277,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,221,202.0,153.0,171.0,192.0,184.57142857142858,82.14201389,74.69386574,75.78171296,77.53919752999992,73.46471508428571,2023-10-04,West,10,2,4,0,4,0,251.6694444,52.82637731,12.92051127,1.571083434,1571.2282250148407,284.6790689929577,663.2388700600001
116.6652778,302.4418478,13.08502976,60.03695437,40.90078869,13.81165123,1.482962282,40.12116353,27.39241906,2.344803066,55.52852969,0.0,1006.363923,-0.755716733,0.654898633,0,0,4,0,0,0,3,2.84,0,0,0,1.279425144,False,False,False,False,True,289,221.0,202.0,153.0,237.33333333333334,201.71428571428572,94.85884662,82.14201389,74.69386574,83.89824208333324,78.55430560714285,2023-10-05,West,10,3,5,0,4,0,271.1734954,53.76733796,12.82446126,1.789799862,1521.060755054132,273.5571010811817,677.6480860739999
133.1342593,293.38174,38.59671479,59.84519676,61.68119213,14.99216083,1.325645129,39.36248843,28.12992906,0.69644411,54.8698841,0.0,1005.776742,-0.305098059,0.952320941,0,0,4,0,0,0,1,5.67,0,0,0,1.4358654,False,False,False,False,True,310,289.0,221.0,202.0,273.3333333333333,217.42857142857142,116.6652778,94.85884662,82.14201389,97.88871276999993,85.67704543142858,2023-10-06,West,10,4,6,0,4,0,302.4418478,60.03695437,13.81165123,1.482962282,1543.4859472634218,92.72057072869771,215.8976741
121.1935185,299.2896135,48.66215443,49.92022487,65.17452877,15.2579505,1.321608525,23.96824074,29.47543542,0.945743959,61.34214686,0.0,1007.089564,-0.267817572,0.963469641,0,0,4,1,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,301,310.0,289.0,221.0,300.0,235.28571428571428,133.1342593,116.6652778,94.85884662,114.88612790666656,92.78918167999998,2023-10-07,West,10,5,7,0,4,0,293.38174,59.84519676,14.99216083,1.325645129,1808.0864882960857,114.61803799132973,284.668931659
96.7087963,218.3669974,35.54635417,43.34539352,51.08912037,14.2681713,1.439207904,22.2380282,30.45555771,2.263668755,57.10560998,0.0,1007.382056,-0.230359531,0.973105589,0,0,3,1,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,222,301.0,310.0,289.0,277.6666666666667,242.57142857142858,121.1935185,133.1342593,116.6652778,123.6643518666666,99.78135640142855,2023-10-08,West,10,6,8,0,4,0,299.2896135,49.92022487,15.2579505,1.321608525,1739.183200310642,218.9166805179696,502.53446361
102.0342693,253.2169974,35.00099537,44.51034722,50.9090625,13.01689815,1.197855137,25.93888889,30.53553479,1.649504293,52.97467342,0.0,1008.085131,-0.01884174,0.999822479,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,240,222.0,301.0,310.0,254.33333333333334,255.0,96.7087963,121.1935185,133.1342593,117.01219136666656,102.77093973571428,2023-10-09,West,10,0,9,0,4,0,218.3669974,43.34539352,14.2681713,1.439207904,1617.6099832052982,168.3059652434681,395.88103032
103.8762356,235.9733466,27.28347725,43.84016908,44.60381341,11.46580616,1.228986605,26.87429473,28.93942448,1.90966114,59.12328232,0.001457622,1009.476347,-0.705155986,0.709052209,0,0,4,0,0,0,1,1.16,0,0,0,0.523653113,False,False,False,False,True,246,240.0,222.0,301.0,236.0,261.2857142857143,102.0342693,96.7087963,121.1935185,106.64552803333326,106.67671167285714,2023-10-10,West,10,1,10,0,4,0,253.2169974,44.51034722,13.01689815,1.197855137,1710.9937637093592,198.3684104948046,469.77664044
85.39548611,226.9575231,14.71336806,43.15795139,33.95309028,13.4931713,1.022005334,33.61751702,27.23315146,2.347259763,56.66920254,0.0,1010.512221,-0.748851471,0.662737862,0,0,4,0,0,0,2,5.08,0,0,0,0.852057378,False,False,False,False,True,185,246.0,240.0,222.0,223.66666666666666,256.14285714285717,103.8762356,102.0342693,96.7087963,100.87310039999991,109.7816004885714,2023-10-11,West,10,2,11,0,4,0,235.9733466,43.84016908,11.46580616,1.228986605,1543.2809758892367,200.44538848782835,434.243056155
106.3643519,298.1697162,21.37493056,51.26815972,44.0366088,16.14849537,1.354594907,44.18408565,26.94914219,1.068794333,56.1298848,0.0,1012.003692,-0.763067229,0.646319119,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,255,185.0,246.0,240.0,228.66666666666666,251.28571428571428,85.39548611,103.8762356,102.0342693,97.10199700333324,108.4296918442857,2023-10-12,West,10,3,12,0,4,0,226.9575231,43.15795139,13.4931713,1.022005334,1512.6522465835196,113.68161654393779,272.542554915
148.5606481,372.4445918,26.47202757,57.10050926,51.37438342,14.16200547,1.331669028,45.68439664,28.18639833,0.350260143,58.4969453,0.0,1011.967419,-0.999725542,-0.023427357,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,328,255.0,185.0,246.0,256.0,253.85714285714286,106.3643519,85.39548611,103.8762356,98.54535786999992,106.95813100142855,2023-10-13,West,10,4,13,0,4,0,298.1697162,51.26815972,16.14849537,1.354594907,1648.8182013140213,52.03487384767868,114.88532690400001
